"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2020 Week 17 ending April 25, 2020","2020/17",374,Not Applicable,Not Applicable
,"2020 Week 18 ending May 02, 2020","2020/18",342,Not Applicable,Not Applicable
,"2020 Week 19 ending May 09, 2020","2020/19",390,Not Applicable,Not Applicable
,"2020 Week 20 ending May 16, 2020","2020/20",416,Not Applicable,Not Applicable
,"2020 Week 21 ending May 23, 2020","2020/21",395,Not Applicable,Not Applicable
,"2020 Week 22 ending May 30, 2020","2020/22",386,Not Applicable,Not Applicable
,"2020 Week 23 ending June 06, 2020","2020/23",403,Not Applicable,Not Applicable
,"2020 Week 24 ending June 13, 2020","2020/24",383,Not Applicable,Not Applicable
,"2020 Week 25 ending June 20, 2020","2020/25",405,Not Applicable,Not Applicable
,"2020 Week 26 ending June 27, 2020","2020/26",349,Not Applicable,Not Applicable
,"2020 Week 27 ending July 04, 2020","2020/27",403,Not Applicable,Not Applicable
,"2020 Week 28 ending July 11, 2020","2020/28",395,Not Applicable,Not Applicable
,"2020 Week 29 ending July 18, 2020","2020/29",351,Not Applicable,Not Applicable
,"2020 Week 30 ending July 25, 2020","2020/30",379,Not Applicable,Not Applicable
,"2020 Week 31 ending August 01, 2020","2020/31",347,Not Applicable,Not Applicable
,"2020 Week 32 ending August 08, 2020","2020/32",400,Not Applicable,Not Applicable
,"2020 Week 33 ending August 15, 2020","2020/33",346,Not Applicable,Not Applicable
,"2020 Week 34 ending August 22, 2020","2020/34",345,Not Applicable,Not Applicable
,"2020 Week 35 ending August 29, 2020","2020/35",362,Not Applicable,Not Applicable
,"2020 Week 36 ending September 05, 2020","2020/36",374,Not Applicable,Not Applicable
,"2020 Week 37 ending September 12, 2020","2020/37",382,Not Applicable,Not Applicable
,"2020 Week 38 ending September 19, 2020","2020/38",391,Not Applicable,Not Applicable
,"2020 Week 39 ending September 26, 2020","2020/39",349,Not Applicable,Not Applicable
,"2020 Week 40 ending October 03, 2020","2020/40",359,Not Applicable,Not Applicable
,"2020 Week 41 ending October 10, 2020","2020/41",382,Not Applicable,Not Applicable
,"2020 Week 42 ending October 17, 2020","2020/42",366,Not Applicable,Not Applicable
,"2020 Week 43 ending October 24, 2020","2020/43",330,Not Applicable,Not Applicable
,"2020 Week 44 ending October 31, 2020","2020/44",382,Not Applicable,Not Applicable
,"2020 Week 45 ending November 07, 2020","2020/45",395,Not Applicable,Not Applicable
,"2020 Week 46 ending November 14, 2020","2020/46",366,Not Applicable,Not Applicable
,"2020 Week 47 ending November 21, 2020","2020/47",379,Not Applicable,Not Applicable
,"2020 Week 48 ending November 28, 2020","2020/48",331,Not Applicable,Not Applicable
,"2020 Week 49 ending December 05, 2020","2020/49",331,Not Applicable,Not Applicable
,"2020 Week 50 ending December 12, 2020","2020/50",381,Not Applicable,Not Applicable
,"2020 Week 51 ending December 19, 2020","2020/51",344,Not Applicable,Not Applicable
,"2020 Week 52 ending December 26, 2020","2020/52",345,Not Applicable,Not Applicable
,"2020 Week 53 ending January 02, 2021","2020/53",380,Not Applicable,Not Applicable
,"2021 Week 01 ending January 09, 2021","2021/01",351,Not Applicable,Not Applicable
,"2021 Week 02 ending January 16, 2021","2021/02",380,Not Applicable,Not Applicable
,"2021 Week 03 ending January 23, 2021","2021/03",367,Not Applicable,Not Applicable
,"2021 Week 04 ending January 30, 2021","2021/04",409,Not Applicable,Not Applicable
,"2021 Week 05 ending February 06, 2021","2021/05",348,Not Applicable,Not Applicable
,"2021 Week 06 ending February 13, 2021","2021/06",372,Not Applicable,Not Applicable
,"2021 Week 07 ending February 20, 2021","2021/07",381,Not Applicable,Not Applicable
,"2021 Week 08 ending February 27, 2021","2021/08",400,Not Applicable,Not Applicable
,"2021 Week 09 ending March 06, 2021","2021/09",342,Not Applicable,Not Applicable
,"2021 Week 10 ending March 13, 2021","2021/10",368,Not Applicable,Not Applicable
,"2021 Week 11 ending March 20, 2021","2021/11",355,Not Applicable,Not Applicable
,"2021 Week 12 ending March 27, 2021","2021/12",421,Not Applicable,Not Applicable
,"2021 Week 13 ending April 03, 2021","2021/13",352,Not Applicable,Not Applicable
,"2021 Week 14 ending April 10, 2021","2021/14",428,Not Applicable,Not Applicable
,"2021 Week 15 ending April 17, 2021","2021/15",377,Not Applicable,Not Applicable
,"2021 Week 16 ending April 24, 2021","2021/16",378,Not Applicable,Not Applicable
,"2021 Week 17 ending May 01, 2021","2021/17",394,Not Applicable,Not Applicable
,"2021 Week 18 ending May 08, 2021","2021/18",399,Not Applicable,Not Applicable
,"2021 Week 19 ending May 15, 2021","2021/19",420,Not Applicable,Not Applicable
,"2021 Week 20 ending May 22, 2021","2021/20",396,Not Applicable,Not Applicable
,"2021 Week 21 ending May 29, 2021","2021/21",374,Not Applicable,Not Applicable
,"2021 Week 22 ending June 05, 2021","2021/22",403,Not Applicable,Not Applicable
,"2021 Week 23 ending June 12, 2021","2021/23",379,Not Applicable,Not Applicable
,"2021 Week 24 ending June 19, 2021","2021/24",359,Not Applicable,Not Applicable
,"2021 Week 25 ending June 26, 2021","2021/25",373,Not Applicable,Not Applicable
,"2021 Week 26 ending July 03, 2021","2021/26",388,Not Applicable,Not Applicable
,"2021 Week 27 ending July 10, 2021","2021/27",367,Not Applicable,Not Applicable
,"2021 Week 28 ending July 17, 2021","2021/28",357,Not Applicable,Not Applicable
,"2021 Week 29 ending July 24, 2021","2021/29",407,Not Applicable,Not Applicable
,"2021 Week 30 ending July 31, 2021","2021/30",398,Not Applicable,Not Applicable
,"2021 Week 31 ending August 07, 2021","2021/31",359,Not Applicable,Not Applicable
,"2021 Week 32 ending August 14, 2021","2021/32",379,Not Applicable,Not Applicable
,"2021 Week 33 ending August 21, 2021","2021/33",424,Not Applicable,Not Applicable
,"2021 Week 34 ending August 28, 2021","2021/34",370,Not Applicable,Not Applicable
,"2021 Week 35 ending September 04, 2021","2021/35",379,Not Applicable,Not Applicable
,"2021 Week 36 ending September 11, 2021","2021/36",393,Not Applicable,Not Applicable
,"2021 Week 37 ending September 18, 2021","2021/37",413,Not Applicable,Not Applicable
,"2021 Week 38 ending September 25, 2021","2021/38",390,Not Applicable,Not Applicable
,"2021 Week 39 ending October 02, 2021","2021/39",416,Not Applicable,Not Applicable
,"2021 Week 40 ending October 09, 2021","2021/40",417,Not Applicable,Not Applicable
,"2021 Week 41 ending October 16, 2021","2021/41",375,Not Applicable,Not Applicable
,"2021 Week 42 ending October 23, 2021","2021/42",419,Not Applicable,Not Applicable
,"2021 Week 43 ending October 30, 2021","2021/43",368,Not Applicable,Not Applicable
,"2021 Week 44 ending November 06, 2021","2021/44",381,Not Applicable,Not Applicable
,"2021 Week 45 ending November 13, 2021","2021/45",388,Not Applicable,Not Applicable
,"2021 Week 46 ending November 20, 2021","2021/46",394,Not Applicable,Not Applicable
,"2021 Week 47 ending November 27, 2021","2021/47",417,Not Applicable,Not Applicable
,"2021 Week 48 ending December 04, 2021","2021/48",384,Not Applicable,Not Applicable
,"2021 Week 49 ending December 11, 2021","2021/49",421,Not Applicable,Not Applicable
,"2021 Week 50 ending December 18, 2021","2021/50",413,Not Applicable,Not Applicable
,"2021 Week 51 ending December 25, 2021","2021/51",383,Not Applicable,Not Applicable
,"2021 Week 52 ending January 01, 2022","2021/52",389,Not Applicable,Not Applicable
,"2022 Week 01 ending January 08, 2022","2022/01",383,Not Applicable,Not Applicable
,"2022 Week 02 ending January 15, 2022","2022/02",379,Not Applicable,Not Applicable
,"2022 Week 03 ending January 22, 2022","2022/03",378,Not Applicable,Not Applicable
,"2022 Week 04 ending January 29, 2022","2022/04",381,Not Applicable,Not Applicable
,"2022 Week 05 ending February 05, 2022","2022/05",352,Not Applicable,Not Applicable
,"2022 Week 06 ending February 12, 2022","2022/06",363,Not Applicable,Not Applicable
,"2022 Week 07 ending February 19, 2022","2022/07",379,Not Applicable,Not Applicable
,"2022 Week 08 ending February 26, 2022","2022/08",431,Not Applicable,Not Applicable
,"2022 Week 09 ending March 05, 2022","2022/09",361,Not Applicable,Not Applicable
,"2022 Week 10 ending March 12, 2022","2022/10",365,Not Applicable,Not Applicable
,"2022 Week 11 ending March 19, 2022","2022/11",431,Not Applicable,Not Applicable
,"2022 Week 12 ending March 26, 2022","2022/12",371,Not Applicable,Not Applicable
,"2022 Week 13 ending April 02, 2022","2022/13",383,Not Applicable,Not Applicable
,"2022 Week 14 ending April 09, 2022","2022/14",354,Not Applicable,Not Applicable
,"2022 Week 15 ending April 16, 2022","2022/15",395,Not Applicable,Not Applicable
,"2022 Week 16 ending April 23, 2022","2022/16",411,Not Applicable,Not Applicable
,"2022 Week 17 ending April 30, 2022","2022/17",383,Not Applicable,Not Applicable
,"2022 Week 18 ending May 07, 2022","2022/18",386,Not Applicable,Not Applicable
,"2022 Week 19 ending May 14, 2022","2022/19",406,Not Applicable,Not Applicable
,"2022 Week 20 ending May 21, 2022","2022/20",405,Not Applicable,Not Applicable
,"2022 Week 21 ending May 28, 2022","2022/21",394,Not Applicable,Not Applicable
,"2022 Week 22 ending June 04, 2022","2022/22",407,Not Applicable,Not Applicable
,"2022 Week 23 ending June 11, 2022","2022/23",419,Not Applicable,Not Applicable
,"2022 Week 24 ending June 18, 2022","2022/24",389,Not Applicable,Not Applicable
,"2022 Week 25 ending June 25, 2022","2022/25",420,Not Applicable,Not Applicable
,"2022 Week 26 ending July 02, 2022","2022/26",409,Not Applicable,Not Applicable
,"2022 Week 27 ending July 09, 2022","2022/27",390,Not Applicable,Not Applicable
,"2022 Week 28 ending July 16, 2022","2022/28",411,Not Applicable,Not Applicable
,"2022 Week 29 ending July 23, 2022","2022/29",385,Not Applicable,Not Applicable
,"2022 Week 30 ending July 30, 2022","2022/30",425,Not Applicable,Not Applicable
,"2022 Week 31 ending August 06, 2022","2022/31",445,Not Applicable,Not Applicable
,"2022 Week 32 ending August 13, 2022","2022/32",400,Not Applicable,Not Applicable
,"2022 Week 33 ending August 20, 2022","2022/33",411,Not Applicable,Not Applicable
,"2022 Week 34 ending August 27, 2022","2022/34",414,Not Applicable,Not Applicable
,"2022 Week 35 ending September 03, 2022","2022/35",389,Not Applicable,Not Applicable
,"2022 Week 36 ending September 10, 2022","2022/36",408,Not Applicable,Not Applicable
,"2022 Week 37 ending September 17, 2022","2022/37",415,Not Applicable,Not Applicable
,"2022 Week 38 ending September 24, 2022","2022/38",383,Not Applicable,Not Applicable
,"2022 Week 39 ending October 01, 2022","2022/39",408,Not Applicable,Not Applicable
,"2022 Week 40 ending October 08, 2022","2022/40",388,Not Applicable,Not Applicable
,"2022 Week 41 ending October 15, 2022","2022/41",431,Not Applicable,Not Applicable
,"2022 Week 42 ending October 22, 2022","2022/42",425,Not Applicable,Not Applicable
,"2022 Week 43 ending October 29, 2022","2022/43",406,Not Applicable,Not Applicable
,"2022 Week 44 ending November 05, 2022","2022/44",425,Not Applicable,Not Applicable
,"2022 Week 45 ending November 12, 2022","2022/45",447,Not Applicable,Not Applicable
,"2022 Week 46 ending November 19, 2022","2022/46",403,Not Applicable,Not Applicable
,"2022 Week 47 ending November 26, 2022","2022/47",414,Not Applicable,Not Applicable
,"2022 Week 48 ending December 03, 2022","2022/48",445,Not Applicable,Not Applicable
,"2022 Week 49 ending December 10, 2022","2022/49",388,Not Applicable,Not Applicable
,"2022 Week 50 ending December 17, 2022","2022/50",430,Not Applicable,Not Applicable
,"2022 Week 51 ending December 24, 2022","2022/51",438,Not Applicable,Not Applicable
,"2022 Week 52 ending December 31, 2022","2022/52",433,Not Applicable,Not Applicable
,"2023 Week 01 ending January 07, 2023","2023/01",391,Not Applicable,Not Applicable
,"2023 Week 02 ending January 14, 2023","2023/02",419,Not Applicable,Not Applicable
,"2023 Week 03 ending January 21, 2023","2023/03",443,Not Applicable,Not Applicable
,"2023 Week 04 ending January 28, 2023","2023/04",398,Not Applicable,Not Applicable
,"2023 Week 05 ending February 04, 2023","2023/05",379,Not Applicable,Not Applicable
,"2023 Week 06 ending February 11, 2023","2023/06",386,Not Applicable,Not Applicable
,"2023 Week 07 ending February 18, 2023","2023/07",390,Not Applicable,Not Applicable
,"2023 Week 08 ending February 25, 2023","2023/08",411,Not Applicable,Not Applicable
,"2023 Week 09 ending March 04, 2023","2023/09",412,Not Applicable,Not Applicable
,"2023 Week 10 ending March 11, 2023","2023/10",416,Not Applicable,Not Applicable
,"2023 Week 11 ending March 18, 2023","2023/11",404,Not Applicable,Not Applicable
,"2023 Week 12 ending March 25, 2023","2023/12",438,Not Applicable,Not Applicable
,"2023 Week 13 ending April 01, 2023","2023/13",420,Not Applicable,Not Applicable
,"2023 Week 14 ending April 08, 2023","2023/14",400,Not Applicable,Not Applicable
,"2023 Week 15 ending April 15, 2023","2023/15",381,Not Applicable,Not Applicable
,"2023 Week 16 ending April 22, 2023","2023/16",413,Not Applicable,Not Applicable
,"2023 Week 17 ending April 29, 2023","2023/17",403,Not Applicable,Not Applicable
,"2023 Week 18 ending May 06, 2023","2023/18",387,Not Applicable,Not Applicable
,"2023 Week 19 ending May 13, 2023","2023/19",397,Not Applicable,Not Applicable
,"2023 Week 20 ending May 20, 2023","2023/20",372,Not Applicable,Not Applicable
,"2023 Week 21 ending May 27, 2023","2023/21",393,Not Applicable,Not Applicable
,"2023 Week 22 ending June 03, 2023","2023/22",390,Not Applicable,Not Applicable
,"2023 Week 23 ending June 10, 2023","2023/23",398,Not Applicable,Not Applicable
,"2023 Week 24 ending June 17, 2023","2023/24",385,Not Applicable,Not Applicable
,"2023 Week 25 ending June 24, 2023","2023/25",395,Not Applicable,Not Applicable
,"2023 Week 26 ending July 01, 2023","2023/26",381,Not Applicable,Not Applicable
,"2023 Week 27 ending July 08, 2023","2023/27",356,Not Applicable,Not Applicable
,"2023 Week 28 ending July 15, 2023","2023/28",419,Not Applicable,Not Applicable
,"2023 Week 29 ending July 22, 2023","2023/29",397,Not Applicable,Not Applicable
,"2023 Week 30 ending July 29, 2023","2023/30",355,Not Applicable,Not Applicable
,"2023 Week 31 ending August 05, 2023","2023/31",404,Not Applicable,Not Applicable
,"2023 Week 32 ending August 12, 2023","2023/32",417,Not Applicable,Not Applicable
,"2023 Week 33 ending August 19, 2023","2023/33",383,Not Applicable,Not Applicable
,"2023 Week 34 ending August 26, 2023","2023/34",406,Not Applicable,Not Applicable
,"2023 Week 35 ending September 02, 2023","2023/35",388,Not Applicable,Not Applicable
,"2023 Week 36 ending September 09, 2023","2023/36",360,Not Applicable,Not Applicable
,"2023 Week 37 ending September 16, 2023","2023/37",360,Not Applicable,Not Applicable
,"2023 Week 38 ending September 23, 2023","2023/38",428,Not Applicable,Not Applicable
,"2023 Week 39 ending September 30, 2023","2023/39",414,Not Applicable,Not Applicable
,"2023 Week 40 ending October 07, 2023","2023/40",377,Not Applicable,Not Applicable
,"2023 Week 41 ending October 14, 2023","2023/41",401,Not Applicable,Not Applicable
,"2023 Week 42 ending October 21, 2023","2023/42",360,Not Applicable,Not Applicable
,"2023 Week 43 ending October 28, 2023","2023/43",391,Not Applicable,Not Applicable
,"2023 Week 44 ending November 04, 2023","2023/44",413,Not Applicable,Not Applicable
,"2023 Week 45 ending November 11, 2023","2023/45",413,Not Applicable,Not Applicable
,"2023 Week 46 ending November 18, 2023","2023/46",397,Not Applicable,Not Applicable
,"2023 Week 47 ending November 25, 2023","2023/47",375,Not Applicable,Not Applicable
,"2023 Week 48 ending December 02, 2023","2023/48",378,Not Applicable,Not Applicable
,"2023 Week 49 ending December 09, 2023","2023/49",435,Not Applicable,Not Applicable
,"2023 Week 50 ending December 16, 2023","2023/50",417,Not Applicable,Not Applicable
,"2023 Week 51 ending December 23, 2023","2023/51",416,Not Applicable,Not Applicable
,"2023 Week 52 ending December 30, 2023","2023/52",443,Not Applicable,Not Applicable
,"2024 Week 01 ending January 06, 2024 (provisional)","2024/01",397,Not Applicable,Not Applicable
,"2024 Week 02 ending January 13, 2024 (provisional)","2024/02",418,Not Applicable,Not Applicable
,"2024 Week 03 ending January 20, 2024 (provisional)","2024/03",357,Not Applicable,Not Applicable
,"2024 Week 04 ending January 27, 2024 (provisional)","2024/04",433,Not Applicable,Not Applicable
,"2024 Week 05 ending February 03, 2024 (provisional)","2024/05",449,Not Applicable,Not Applicable
,"2024 Week 06 ending February 10, 2024 (provisional)","2024/06",431,Not Applicable,Not Applicable
,"2024 Week 07 ending February 17, 2024 (provisional)","2024/07",387,Not Applicable,Not Applicable
,"2024 Week 08 ending February 24, 2024 (provisional)","2024/08",374,Not Applicable,Not Applicable
,"2024 Week 09 ending March 02, 2024 (provisional)","2024/09",383,Not Applicable,Not Applicable
,"2024 Week 10 ending March 09, 2024 (provisional)","2024/10",406,Not Applicable,Not Applicable
,"2024 Week 11 ending March 16, 2024 (provisional)","2024/11",396,Not Applicable,Not Applicable
,"2024 Week 12 ending March 23, 2024 (provisional)","2024/12",404,Not Applicable,Not Applicable
,"2024 Week 13 ending March 30, 2024 (provisional)","2024/13",425,Not Applicable,Not Applicable
,"2024 Week 14 ending April 06, 2024 (provisional)","2024/14",384,Not Applicable,Not Applicable
,"2024 Week 15 ending April 13, 2024 (provisional)","2024/15",408,Not Applicable,Not Applicable
,"2024 Week 16 ending April 20, 2024 (provisional)","2024/16",403,Not Applicable,Not Applicable
,"2024 Week 17 ending April 27, 2024 (provisional)","2024/17",378,Not Applicable,Not Applicable
,"2024 Week 18 ending May 04, 2024 (provisional)","2024/18",377,Not Applicable,Not Applicable
,"2024 Week 19 ending May 11, 2024 (provisional)","2024/19",384,Not Applicable,Not Applicable
,"2024 Week 20 ending May 18, 2024 (provisional)","2024/20",420,Not Applicable,Not Applicable
,"2024 Week 21 ending May 25, 2024 (provisional)","2024/21",399,Not Applicable,Not Applicable
,"2024 Week 22 ending June 01, 2024 (provisional)","2024/22",391,Not Applicable,Not Applicable
,"2024 Week 23 ending June 08, 2024 (provisional)","2024/23",372,Not Applicable,Not Applicable
