Notes,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths
,40-44 years,40-44,2021,2021,"Dec., 2021",2021/12,6151
Total,40-44 years,40-44,2021,2021,,,68536
,40-44 years,40-44,2022,2022,"Jan., 2022",2022/01,6540
,40-44 years,40-44,2022,2022,"Feb., 2022",2022/02,4975
,40-44 years,40-44,2022,2022,"Mar., 2022",2022/03,4997
,40-44 years,40-44,2022,2022,"Apr., 2022",2022/04,4705
,40-44 years,40-44,2022,2022,"May, 2022",2022/05,4942
,40-44 years,40-44,2022,2022,"Jun., 2022",2022/06,4912
,40-44 years,40-44,2022,2022,"Jul., 2022",2022/07,5089
,40-44 years,40-44,2022,2022,"Aug., 2022",2022/08,5004
,40-44 years,40-44,2022,2022,"Sep., 2022",2022/09,4814
,40-44 years,40-44,2022,2022,"oct., 2022",2022/10,4878
,40-44 years,40-44,2022,2022,"nov., 2022",2022/11,4963
,40-44 years,40-44,2022,2022,"Dec., 2022",2022/12,5314
Total,40-44 years,40-44,2022,2022,,,61133
,40-44 years,40-44,2023,2023,"Jan., 2023 ",2023/01,5269
,40-44 years,40-44,2023,2023,"Feb., 2023 ",2023/02,4576
,40-44 years,40-44,2023,2023,"Mar., 2023 ",2023/03,4945
,40-44 years,40-44,2023,2023,"Apr., 2023 ",2023/04,4723
,40-44 years,40-44,2023,2023,"May, 2023 ",2023/05,4991
,40-44 years,40-44,2023,2023,"Jun., 2023 ",2023/06,4863
,40-44 years,40-44,2023,2023,"Jul., 2023 ",2023/07,5029
,40-44 years,40-44,2023,2023,"Aug., 2023 ",2023/08,4971
,40-44 years,40-44,2023,2023,"Sep., 2023 ",2023/09,4730
,40-44 years,40-44,2023,2023,"oct., 2023",2023/10,4706
,40-44 years,40-44,2023,2023,"nov., 2023",2023/11,4582
,40-44 years,40-44,2023,2023,"Dec., 2023 ",2023/12,4968
Total,40-44 years,40-44,2023,2023,,,58353
Total,40-44 years,40-44,,,,,188022
,45-49 years,45-49,2021,2021,"Jan., 2021",2021/01,7840
,45-49 years,45-49,2021,2021,"Feb., 2021",2021/02,6318
,45-49 years,45-49,2021,2021,"Mar., 2021",2021/03,6533
,45-49 years,45-49,2021,2021,"Apr., 2021",2021/04,6384
,45-49 years,45-49,2021,2021,"May, 2021",2021/05,6407
,45-49 years,45-49,2021,2021,"Jun., 2021",2021/06,6024
,45-49 years,45-49,2021,2021,"Jul., 2021",2021/07,6602
,45-49 years,45-49,2021,2021,"Aug., 2021",2021/08,8562
,45-49 years,45-49,2021,2021,"Sep., 2021",2021/09,9072
,45-49 years,45-49,2021,2021,"oct., 2021",2021/10,7915
,45-49 years,45-49,2021,2021,"nov., 2021",2021/11,6817
,45-49 years,45-49,2021,2021,"Dec., 2021",2021/12,7670
Total,45-49 years,45-49,2021,2021,,,86144
,45-49 years,45-49,2022,2022,"Jan., 2022",2022/01,8239
