Notes,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths
,50-54 years,50-54,2021,2021,"Jun., 2021",2021/06,464
,50-54 years,50-54,2021,2021,"Jul., 2021",2021/07,679
,50-54 years,50-54,2021,2021,"Aug., 2021",2021/08,3378
,50-54 years,50-54,2021,2021,"Sep., 2021",2021/09,4358
,50-54 years,50-54,2021,2021,"oct., 2021",2021/10,2593
,50-54 years,50-54,2021,2021,"nov., 2021",2021/11,1662
,50-54 years,50-54,2021,2021,"Dec., 2021",2021/12,2302
,50-54 years,50-54,2022,2022,"Jan., 2022",2022/01,2988
,50-54 years,50-54,2022,2022,"Feb., 2022",2022/02,1387
,50-54 years,50-54,2022,2022,"Mar., 2022",2022/03,355
,50-54 years,50-54,2022,2022,"Apr., 2022",2022/04,113
,50-54 years,50-54,2022,2022,"May, 2022",2022/05,89
,50-54 years,50-54,2022,2022,"Jun., 2022",2022/06,132
,50-54 years,50-54,2022,2022,"Jul., 2022",2022/07,188
,50-54 years,50-54,2022,2022,"Aug., 2022",2022/08,202
,50-54 years,50-54,2022,2022,"Sep., 2022",2022/09,144
,50-54 years,50-54,2022,2022,"oct., 2022",2022/10,110
,50-54 years,50-54,2022,2022,"nov., 2022",2022/11,109
,50-54 years,50-54,2022,2022,"Dec., 2022",2022/12,163
,50-54 years,50-54,2023,2023,"Jan., 2023 ",2023/01,145
,50-54 years,50-54,2023,2023,"Feb., 2023 ",2023/02,89
,50-54 years,50-54,2023,2023,"Mar., 2023 ",2023/03,68
,50-54 years,50-54,2023,2023,"Apr., 2023 ",2023/04,56
,50-54 years,50-54,2023,2023,"May, 2023 ",2023/05,33
,50-54 years,50-54,2023,2023,"Jun., 2023 ",2023/06,22
,50-54 years,50-54,2023,2023,"Jul., 2023 ",2023/07,19
,50-54 years,50-54,2023,2023,"Aug., 2023 ",2023/08,36
,50-54 years,50-54,2023,2023,"Sep., 2023 ",2023/09,52
,50-54 years,50-54,2023,2023,"oct., 2023",2023/10,42
,50-54 years,50-54,2023,2023,"nov., 2023",2023/11,47
,50-54 years,50-54,2023,2023,"Dec., 2023 ",2023/12,85
,55-59 years,55-59,2020,2020,"Mar., 2020",2020/03,425
,55-59 years,55-59,2020,2020,"Apr., 2020",2020/04,2968
,55-59 years,55-59,2020,2020,"May, 2020",2020/05,1626
,55-59 years,55-59,2020,2020,"Jun., 2020",2020/06,896
,55-59 years,55-59,2020,2020,"Jul., 2020",2020/07,1721
,55-59 years,55-59,2020,2020,"Aug., 2020",2020/08,1545
,55-59 years,55-59,2020,2020,"Sep., 2020",2020/09,899
,55-59 years,55-59,2020,2020,"oct., 2020",2020/10,935
,55-59 years,55-59,2020,2020,"nov., 2020",2020/11,1863
,55-59 years,55-59,2020,2020,"Dec., 2020",2020/12,3751
,55-59 years,55-59,2021,2021,"Jan., 2021",2021/01,4576
,55-59 years,55-59,2021,2021,"Feb., 2021",2021/02,2453
,55-59 years,55-59,2021,2021,"Mar., 2021",2021/03,1372
,55-59 years,55-59,2021,2021,"Apr., 2021",2021/04,1307
,55-59 years,55-59,2021,2021,"May, 2021",2021/05,1170
,55-59 years,55-59,2021,2021,"Jun., 2021",2021/06,602
,55-59 years,55-59,2021,2021,"Jul., 2021",2021/07,860
,55-59 years,55-59,2021,2021,"Aug., 2021",2021/08,4175
,55-59 years,55-59,2021,2021,"Sep., 2021",2021/09,5664
,55-59 years,55-59,2021,2021,"oct., 2021",2021/10,3480
,55-59 years,55-59,2021,2021,"nov., 2021",2021/11,2309
,55-59 years,55-59,2021,2021,"Dec., 2021",2021/12,3237
