week,excess,confidence,is_outlier,needs_review
2022-09-20,59.053,1,FALSE,FALSE
2022-09-27,57,1,FALSE,FALSE
2022-10-04,58.413,1,FALSE,FALSE
2022-10-11,61.292,1,FALSE,FALSE
2022-10-18,67.688,0.69,FALSE,FALSE
2022-10-25,67.688,1,FALSE,FALSE
2022-11-01,71.845,1,FALSE,FALSE
2022-11-08,76.002,1,FALSE,FALSE
2022-11-15,79.2,1,FALSE,FALSE
2022-11-22,81.439,1,FALSE,FALSE
2022-11-29,79.52,1,FALSE,FALSE
2022-12-06,81.439,1,FALSE,FALSE
2022-12-13,83.358,0.97,FALSE,FALSE
2022-12-20,83.358,1,FALSE,FALSE
2022-12-27,86.556,1,FALSE,FALSE
2023-01-03,91.993,1,FALSE,FALSE
2023-01-10,98,1,FALSE,FALSE
2023-01-17,102,1,FALSE,FALSE
2023-01-24,108,1,FALSE,FALSE
2023-01-31,94,1,FALSE,FALSE
2023-02-07,92.312,1,FALSE,FALSE
2023-02-14,87.196,0.8,FALSE,FALSE
2023-02-21,82.079,1,FALSE,FALSE
2023-02-28,75,1,FALSE,FALSE
2023-03-07,72,1,FALSE,FALSE
2023-03-14,80.8,1,FALSE,FALSE
2023-03-21,87.835,1,FALSE,FALSE
2023-03-28,91.993,1,FALSE,FALSE
2023-04-04,91.353,1,FALSE,FALSE
2023-04-11,91.673,0.8,FALSE,FALSE
2023-04-18,91.673,0.74,FALSE,FALSE
2023-04-25,89.434,1,FALSE,FALSE
2023-05-02,84.957,1,FALSE,FALSE
2023-05-09,80.48,1,FALSE,FALSE
2023-05-16,80.453,0.51,FALSE,FALSE
2023-05-23,79.71,0.51,FALSE,FALSE
2023-05-30,76,1,FALSE,FALSE
2023-06-06,74,1,FALSE,FALSE
2023-06-13,76,1,FALSE,FALSE
2023-06-20,68,1,FALSE,FALSE
2023-06-27,73.124,1,FALSE,FALSE
2023-07-04,76.642,1,FALSE,FALSE
2023-07-11,76.962,1,FALSE,FALSE
2023-07-18,77.282,1,FALSE,FALSE
2023-07-25,74.403,1,FALSE,FALSE
2023-08-01,74.723,1,FALSE,FALSE
2023-08-08,83.678,1,FALSE,FALSE
2023-08-15,90,1,FALSE,FALSE
2023-08-22,85.277,1,FALSE,FALSE
2023-08-29,80.8,1,FALSE,FALSE
2023-09-05,77.601,0.91,FALSE,FALSE
2023-09-12,78.561,0.91,FALSE,FALSE
2023-09-19,78.241,0.86,FALSE,FALSE
2023-09-26,76.962,1,FALSE,FALSE
2023-10-03,74.084,0.91,FALSE,FALSE
2023-10-10,72.804,1,FALSE,FALSE
2023-10-17,75.363,1,FALSE,FALSE
2023-10-24,80.48,1,FALSE,FALSE
2023-10-31,81.439,0.74,FALSE,FALSE
2023-11-07,80.8,0.57,FALSE,FALSE
2023-11-14,81.439,0.57,FALSE,FALSE
2023-11-21,80.16,1,FALSE,FALSE
2023-11-28,84.317,1,FALSE,FALSE
2023-12-05,92.632,1,FALSE,FALSE
2023-12-12,95.191,0.91,FALSE,FALSE
2023-12-19,98.069,1,FALSE,FALSE
2023-12-26,104.465,1,FALSE,FALSE
2024-01-02,114.699,1,FALSE,FALSE
2024-01-09,125.892,1,FALSE,FALSE
2024-01-16,132.608,1,FALSE,FALSE
2024-01-23,135,1,FALSE,FALSE
2024-01-30,140,1,FALSE,FALSE
2024-02-06,135,1,FALSE,FALSE
2024-02-13,129.729,1,FALSE,FALSE
2024-02-20,123.973,1,FALSE,FALSE
2024-02-27,121.415,1,FALSE,FALSE
2024-03-05,118.536,1,FALSE,FALSE
2024-03-12,114,1,FALSE,FALSE
2024-03-19,110,1,FALSE,FALSE
2024-03-26,112.46,1,FALSE,FALSE
2024-04-02,115.658,1,FALSE,FALSE
2024-04-09,121.734,1,FALSE,FALSE
2024-04-16,121.415,1,FALSE,FALSE
2024-04-23,118.856,0.91,FALSE,FALSE
2024-04-30,116.937,0.8,FALSE,FALSE
2024-05-07,115.978,0.91,FALSE,FALSE
2024-05-14,115.978,0.86,FALSE,FALSE
2024-05-21,115.978,1,FALSE,FALSE
2024-05-28,114.403,1,TRUE,TRUE
2024-06-04,112.78,1,FALSE,FALSE
2024-06-11,112.78,0.86,FALSE,FALSE
2024-06-18,115,1,FALSE,FALSE
2024-06-25,110,1,FALSE,FALSE
2024-07-02,110,1,FALSE,FALSE
2024-07-09,107.023,1,FALSE,FALSE
2024-07-16,112.14,1,FALSE,FALSE
2024-07-23,110.541,0.86,FALSE,FALSE
2024-07-30,110.541,0.86,FALSE,FALSE
2024-08-06,113.1,0.91,FALSE,FALSE
2024-08-13,108.622,1,FALSE,FALSE
2024-08-20,104.145,1,FALSE,FALSE
2024-08-27,102.546,1,FALSE,FALSE
2024-09-03,102.546,0.8,FALSE,FALSE
2024-09-10,101.587,1,FALSE,FALSE
2024-09-17,99.348,1,FALSE,FALSE
2024-09-24,100.627,0.86,FALSE,FALSE
2024-10-01,102.546,0.97,FALSE,FALSE
2024-10-08,105.424,1,FALSE,FALSE
2024-10-15,108.622,1,FALSE,FALSE
2024-10-22,106.384,1,FALSE,FALSE
2024-10-29,106.384,1,FALSE,FALSE
2024-11-05,112.14,1,FALSE,FALSE
2024-11-12,116.937,1,FALSE,FALSE
2024-11-19,121.415,1,FALSE,FALSE
2024-11-26,123.653,0.97,FALSE,FALSE
2024-12-03,123.973,1,FALSE,FALSE
2024-12-10,126.212,1,FALSE,FALSE
2024-12-17,130.049,0.69,FALSE,FALSE
2024-12-24,131.009,0.86,FALSE,FALSE
2024-12-31,126.212,1,FALSE,FALSE
