Year,Week,MMWRWeekCode,Date,Deaths,baseline_1819_week,Excess_calc,Excess_TES,diff_calc_vs_TES,diff_pct_of_baseline
2020,10,2020/10,2020-03-07,389,440,-51,8.844,-59.844,-13.6009090909091
2020,11,2020/11,2020-03-14,382,414,-32,5.646,-37.646,-9.09323671497584
2020,12,2020/12,2020-03-21,414,441.5,-27.5,-0.431,-27.069,-6.13114382785957
2020,13,2020/13,2020-03-28,396,411.5,-15.5,-4.588,-10.912,-2.65176184690158
2020,14,2020/14,2020-04-04,344,399,-55,-10.344,-44.656,-11.1919799498747
2020,15,2020/15,2020-04-11,384,409,-25,-17.06,-7.94,-1.94132029339853
2020,16,2020/16,2020-04-18,345,441,-96,-20,-76,-17.2335600907029
2020,17,2020/17,2020-04-25,374,401.5,-27.5,-22,-5.5,-1.36986301369863
2020,18,2020/18,2020-05-02,342,421.5,-79.5,-25,-54.5,-12.9300118623962
2020,19,2020/19,2020-05-09,390,433.5,-43.5,-17.7,-25.8,-5.95155709342561
2020,20,2020/20,2020-05-16,416,407.5,8.5,-12.263,20.763,5.09521472392638
2020,21,2020/21,2020-05-23,395,409,-14,-8.106,-5.894,-1.44107579462103
2020,22,2020/22,2020-05-30,386,426,-40,-2.03,-37.97,-8.9131455399061
2020,23,2020/23,2020-06-06,403,409.5,-6.5,2.128,-8.628,-2.10695970695971
2020,24,2020/24,2020-06-13,383,418,-35,1.488,-36.488,-8.72918660287081
2020,25,2020/25,2020-06-20,405,403,2,0.529,1.471,0.365012406947891
2020,26,2020/26,2020-06-27,349,404,-55,1.488,-56.488,-13.9821782178218
2020,27,2020/27,2020-07-04,403,417.5,-14.5,0.849,-15.349,-3.67640718562874
2020,28,2020/28,2020-07-11,395,407,-12,-2.989,-9.011,-2.21400491400491
2020,29,2020/29,2020-07-18,351,404.5,-53.5,-5.547,-47.953,-11.8548825710754
2020,30,2020/30,2020-07-25,379,423,-44,-9.065,-34.935,-8.25886524822695
2020,31,2020/31,2020-08-01,347,383,-36,-12.903,-23.097,-6.03054830287206
2020,32,2020/32,2020-08-08,400,403,-3,-14.182,11.182,2.77468982630273
2020,33,2020/33,2020-08-15,346,414.5,-68.5,-18.339,-50.161,-12.1015681544029
2020,34,2020/34,2020-08-22,345,423.5,-78.5,-21.538,-56.962,-13.4502951593861
2020,35,2020/35,2020-08-29,362,407.5,-45.5,-21.218,-24.282,-5.95877300613497
2020,36,2020/36,2020-09-05,374,410.5,-36.5,-19.299,-17.201,-4.19025578562728
2020,37,2020/37,2020-09-12,382,413,-31,-21.538,-9.462,-2.2910411622276
2020,38,2020/38,2020-09-19,391,440,-49,-25.055,-23.945,-5.44204545454546
2020,39,2020/39,2020-09-26,349,416.5,-67.5,-23.137,-44.363,-10.6513805522209
2020,40,2020/40,2020-10-03,359,406.5,-47.5,-21.218,-26.282,-6.46543665436654
2020,41,2020/41,2020-10-10,382,411,-29,-22.817,-6.183,-1.5043795620438
2020,42,2020/42,2020-10-17,366,432.5,-66.5,-25.055,-41.445,-9.58265895953757
2020,43,2020/43,2020-10-24,330,410.5,-80.5,-24.416,-56.084,-13.6623629719854
2020,44,2020/44,2020-10-31,382,394,-12,-22.177,10.177,2.58299492385787
2020,45,2020/45,2020-11-07,395,413,-18,-18.979,0.978999999999999,0.237046004842615
2020,46,2020/46,2020-11-14,366,433,-67,-19.619,-47.381,-10.9424942263279
2020,47,2020/47,2020-11-21,379,410.5,-31.5,-23.137,-8.363,-2.03727161997564
2020,48,2020/48,2020-11-28,331,393,-62,-23.137,-38.863,-9.88880407124682
2020,49,2020/49,2020-12-05,331,399.5,-68.5,-22.177,-46.323,-11.5952440550688
2020,50,2020/50,2020-12-12,381,415,-34,-26.654,-7.346,-1.77012048192771
2020,51,2020/51,2020-12-19,344,410,-66,-29.213,-36.787,-8.97243902439024
2020,52,2020/52,2020-12-26,345,418,-73,-24.416,-48.584,-11.622966507177
2020,53,2020/53,2021-01-02,380,,,-18.02,,
2021,1,2021/01,2021-01-09,351,397,-46,-6.507,-39.493,-9.94785894206549
2021,2,2021/02,2021-01-16,380,401,-21,0.849,-21.849,-5.44862842892768
2021,3,2021/03,2021-01-23,367,422.5,-55.5,7.245,-62.745,-14.8508875739645
2021,4,2021/04,2021-01-30,409,439,-30,10,-40,-9.11161731207289
2021,5,2021/05,2021-02-06,348,447,-99,11,-110,-24.6085011185682
2021,6,2021/06,2021-02-13,372,435.5,-63.5,10,-73.5,-16.8771526980482
2021,7,2021/07,2021-02-20,381,436.5,-55.5,4.047,-59.547,-13.6419243986254
2021,8,2021/08,2021-02-27,400,421.5,-21.5,-2.03,-19.47,-4.61921708185053
2021,9,2021/09,2021-03-06,342,436.5,-94.5,-6,-88.5,-20.2749140893471
2021,10,2021/10,2021-03-13,368,440,-72,-15,-57,-12.9545454545455
2021,11,2021/11,2021-03-20,355,414,-59,-2,-57,-13.768115942029
2021,12,2021/12,2021-03-27,421,441.5,-20.5,0.529,-21.029,-4.76308040770102
2021,13,2021/13,2021-04-03,352,411.5,-59.5,4.367,-63.867,-15.5205346294046
2021,14,2021/14,2021-04-10,428,399,29,7.565,21.435,5.37218045112782
2021,15,2021/15,2021-04-17,377,409,-32,13.961,-45.961,-11.2374083129584
2021,16,2021/16,2021-04-24,378,441,-63,18.438,-81.438,-18.4666666666667
2021,17,2021/17,2021-05-01,394,401.5,-7.5,22.915,-30.415,-7.57534246575342
2021,18,2021/18,2021-05-08,399,421.5,-22.5,26.433,-48.933,-11.6092526690391
2021,19,2021/19,2021-05-15,420,433.5,-13.5,26.753,-40.253,-9.28558246828143
2021,20,2021/20,2021-05-22,396,407.5,-11.5,24.834,-36.334,-8.91631901840491
2021,21,2021/21,2021-05-29,374,409,-35,24.514,-59.514,-14.5511002444988
2021,22,2021/22,2021-06-05,403,426,-23,22.595,-45.595,-10.7030516431925
2021,23,2021/23,2021-06-12,379,409.5,-30.5,22.595,-53.095,-12.965811965812
2021,24,2021/24,2021-06-19,359,418,-59,18.758,-77.758,-18.6023923444976
2021,25,2021/25,2021-06-26,373,403,-30,15,-45,-11.166253101737
2021,26,2021/26,2021-07-03,388,404,-16,13.001,-29.001,-7.17846534653465
2021,27,2021/27,2021-07-10,367,417.5,-50.5,14,-64.5,-15.4491017964072
2021,28,2021/28,2021-07-17,357,407,-50,14.28,-64.28,-15.7936117936118
2021,29,2021/29,2021-07-24,407,404.5,2.5,16.199,-13.699,-3.38665018541409
2021,30,2021/30,2021-07-31,398,423,-25,21.9,-46.9,-11.0874704491726
2021,31,2021/31,2021-08-07,359,383,-24,21.956,-45.956,-11.998955613577
